Fecha,BIL,SPTS,IEI,IEF,SPTL,IGOV,LQD,GHYG,EMB,CEMB,AGG,ACWI,SPY,EZU,EWJ,URTH,EEM,ACWX,IJR,IWD,IWF,IXN,IXG,RXI,EXI,IXJ,IXP,KXI,MXI,IXC,RWO,JXI,USMV,SPLV,SCHD,NOBL,SHY,SPHQ,SPYD,OEF,QQQ,RSP,SPMO,CAPE
2006-01,,0.00886390,,-0.00018636,,-0.00121634,0.00299552,,,,0.00702033,0.06293634,0.02944208,0.08543015,0.04139766,0.04529386,0.15472983,0.09735935,0.08438242,0.04412848,0.01617752,0.03842891,0.05439442,,,0.03471854,0.03532361,,,0.14733155,0.07772613,,,,,,0.007750482928962077,0.08769599830180441,,0.017574997968247796,0.04185420933193118,0.043842473901481105,,
2006-02,,-0.00316196,,-0.00420113,,-0.00409288,0.00298442,,,,-0.00208949,-0.00488086,0.00572527,0.00723947,-0.01569145,0.00098491,-0.03849950,-0.01556522,-0.00479667,0.01019581,0.00251407,-0.01411775,0.02096970,,,-0.00727135,0.00671571,,,-0.07986483,0.01482299,,,,,,-0.0027380839455068973,-0.03489735062474264,,0.0043175757682547555,-0.021428366514053443,0.0033601397831843904,,
2006-03,,0.00150397,,-0.01362753,,-0.01084677,-0.01707984,,,,-0.00870106,0.02276065,0.01247760,0.04396257,0.04347786,0.02129632,0.02167178,0.03485512,0.04803978,0.01078323,0.01755720,0.03616687,0.01707352,,,0.01427268,0.04123679,,,0.04135108,0.04335976,,,,,,0.0013321398728147749,0.04052382133193966,,0.013241261995209586,0.020194431761856757,0.01853419272725887,,
2006-04,,0.00268920,,-0.00624035,,-0.00555395,-0.00211865,,,,-0.00163800,0.03370310,0.01665930,0.04475026,0.02777803,0.02676497,0.06515151,0.05210183,0.00289103,0.02836000,-0.00045755,-0.00832778,0.04291281,,,-0.01147906,0.02523832,,,0.06605097,-0.02537402,,,,,,0.002363782539483772,0.0245655468517898,,0.016683655819832666,-0.0012082924644610804,0.011030995102327523,,0.035380416824740246
2006-05,,0.00193109,,-0.00152011,,-0.00217196,-0.00215499,,,,-0.00192571,-0.04516438,-0.03012125,-0.03558445,-0.05405435,-0.03383166,-0.11142707,-0.05773571,-0.04548206,-0.02433863,-0.03688221,-0.07593310,-0.04840883,,,-0.01629527,-0.01628516,,,-0.03927709,-0.03114038,,,,,,0.0017044359195019787,-0.07309925489027047,,-0.022963389772461706,-0.0724014393443011,-0.029676410324744662,,-0.02772378245766982
2006-06,,0.00261113,,0.00227906,,0.00055010,-0.00058914,,,,-0.00171232,-0.00130132,-0.00180373,0.00284673,-0.02571412,-0.00200329,0.00213422,-0.00014566,-0.00369053,-0.00027433,-0.00414516,-0.01044094,0.00152632,,,0.01180502,0.01058691,,,0.01583511,0.03169469,,,,,,0.0022966181735410984,-0.006309384045324884,,-0.004288819209089856,-0.0012883258266193076,-0.0057920871051651,,0.022214653669330398
2006-07,,0.00745097,,0.01653913,,0.01076727,0.01435171,,,,0.01381495,0.01047046,0.00891805,0.01192371,-0.00513195,0.00820301,0.02342932,0.01187523,-0.03533310,0.02939795,-0.01781072,-0.03888259,0.01663472,,,0.04384654,0.02800011,,,0.04156819,0.04050953,,,,,,0.006518455265966505,-0.05904758480690342,,0.01989987930904058,-0.04242978481071913,-0.010328102661415262,,-0.006162845016473684
2006-08,,0.00845138,,0.01759756,,0.01152562,0.02227132,,,,0.01573088,0.02230565,0.02182196,0.03882829,0.01031684,0.02278779,0.01581684,0.02261919,0.01805911,0.01512939,0.02853068,0.07440575,0.02897879,,,0.02920471,0.01537864,,,-0.03455799,0.02574458,,,,,,0.0073926976494178565,-0.024291723568033663,,0.02577151909296993,0.04770900041279269,0.027397925874949935,,0.01827712432966866
2006-09,,0.00499853,,0.01221599,,0.00766979,0.00863124,,,,0.01032767,0.01158923,0.02250470,0.01750066,-0.01239990,0.01548016,-0.00870701,-0.00093177,0.00673505,0.01648601,0.02537910,0.04370862,0.02269922,,,0.00070072,0.05292043,,,-0.03598254,0.01187148,,,,,,0.0043784249381124685,0.029045762170544664,,0.025619863572446278,0.045792914820941055,0.02114932216990084,,0.008974157449988196
2006-10,,0.00472398,,0.00536700,,0.00276257,0.01002224,,,,0.00666907,0.04174980,0.03605349,0.03407966,0.01994104,0.03648062,0.07057957,0.04589251,0.05351978,0.03634629,0.03902737,0.02429258,0.02967388,0.05016162,0.02796550,0.00507629,0.06291134,0.01420670,0.06444555,0.04375797,0.06632301,0.03354169,,,,,0.004139381538905473,0.04771508281515624,,0.03830454354203772,0.04808151383206849,0.040451534316395366,,0.04766838673380702
2006-11,,0.00547795,,0.01321804,,0.00838775,0.01475253,,,,0.01055049,0.02907431,0.01988585,0.04620158,0.00000000,0.02322256,0.05984557,0.03809594,0.02622612,0.02341077,0.01925543,0.03610677,0.01371752,0.02062594,0.02983110,-0.00313503,0.01385896,0.01478590,0.03730081,0.06638624,0.04065002,0.05358472,,,,,0.004798236515883625,-0.006414211484582433,,0.018080070971966844,0.034288396245549135,0.02495068082771046,,0.024778444824343326
2006-12,,-0.00263504,,-0.01551471,,-0.01219892,-0.01269932,,,,-0.00939276,0.01293169,0.00775597,0.01422943,0.02896449,0.00825516,0.03979960,0.01805001,-0.00211689,0.01709523,-0.00036347,-0.00375855,0.02967970,0.02517276,0.01730707,-0.00104804,0.01817317,0.02108912,0.02439460,-0.02399080,-0.02860365,0.02256428,,,,,-0.0022795302986509114,0.03163339182595015,,0.013778152873064942,-0.019981440084401503,0.002117295113669204,,0.009253607691989352
2007-01,,0.00949616,,0.00249581,,0.00070540,0.00907656,,,,0.00694650,0.02488268,0.02069617,0.03279481,0.01420932,0.02531530,0.01538668,0.02974080,0.02245839,0.01792650,0.02844352,0.00530742,0.01435710,0.02952027,0.03162739,0.03284567,0.04894493,0.02484887,0.02801350,-0.01684127,0.09926688,0.00269008,,,,,0.00830259423103219,0.04067573519652434,,0.013416221431367115,0.02232859324692482,0.02769862635084719,,0.028378408823751533
2007-02,,0.00398514,0.01181849,0.01668430,,0.01087127,0.01563959,,,,0.01224438,-0.01614812,-0.01961753,-0.00906045,0.03144655,-0.01432350,-0.03237070,-0.00969939,-0.00638804,-0.01494113,-0.01806282,-0.03162412,-0.02383565,-0.01449504,-0.00017470,-0.01724746,-0.00400917,-0.00883982,0.01961791,-0.02355152,-0.03360632,0.02090651,,,,,0.0034959249815376126,-0.01022239522806545,,-0.031156128878441436,-0.016791340631303497,-0.004744512866091788,,0.004917814146878863
2007-03,,0.00557723,0.00228139,-0.00088760,,-0.00171877,-0.00662841,,,,-0.00191227,0.02079269,0.00759182,0.04157876,-0.01287285,0.01427904,0.05334513,0.03510632,0.01540060,0.00885844,0.00378763,0.00864949,0.01096533,0.00974863,0.02059326,0.00156392,0.01703051,0.03753288,0.05721501,0.05830418,-0.03090505,0.04026829,,,,,0.004883359470106097,0.018225930287359526,,0.006648112136222073,0.00461499369894014,0.006217893017781417,,0.005469135099818612
2007-04,,0.00314228,0.00416361,0.00547947,,0.00284315,0.00848134,,,,0.00592460,0.04398218,0.04843842,0.06264996,-0.01990357,0.04490413,0.03725324,0.03708572,0.02498114,0.04257327,0.04859764,0.04795252,0.04260315,0.02557552,0.05112848,0.06280320,0.03272931,0.03635391,0.02362720,0.04576063,0.00849226,0.04747738,,,,,0.002761005361563207,0.04952248545695426,,0.052690829515845916,0.056489085704107156,0.04617876935461673,0.038010456199580656,0.040884029383014386
2007-05,,-0.00066954,-0.00879699,-0.01383198,,-0.01099326,-0.01217810,0.00060463,,,-0.00909551,0.03321843,0.03391991,0.03782595,0.02240885,0.03039656,0.05064548,0.03045103,0.04374784,0.03561055,0.03675735,0.03623888,0.02155728,0.03253500,0.04213435,0.00097973,0.06574277,0.00760291,0.07953817,0.07018438,0.00015543,0.02337334,,,,,-0.0005655820453337457,0.01364400889654771,,0.034149070242519786,0.03154918329634415,0.03235370492615286,0.042851917025985786,0.027915492337379666
2007-06,0.00436662,0.00536265,0.00138163,-0.00492715,-0.01610636,-0.00461306,-0.00832458,-0.03761046,,,-0.00428194,-0.00679233,-0.01885004,-0.01131148,-0.00616437,-0.01446827,0.03678321,0.00709885,-0.01971629,-0.02833753,-0.01905286,0.01418195,-0.03748026,-0.01471496,0.00374701,-0.03522480,-0.00650087,-0.01663522,0.02181464,0.03687940,-0.08791414,-0.02654293,,,,,0.004697718511610827,-0.014020867214692978,,-0.01856594986461435,0.004007012553280509,-0.021593469871338256,-0.02876391870613071,-0.022586908467806976
2007-07,-0.00043468,0.01015996,0.01625097,0.02273447,0.02607120,0.01520615,-0.00807344,-0.04299343,,,0.01076777,-0.02200290,-0.02713467,-0.03144033,-0.00551362,-0.02668417,0.00714103,-0.01518391,-0.04712997,-0.04476334,-0.01176297,-0.00317762,-0.05039262,-0.03490290,0.00668707,-0.02941193,-0.02324930,-0.01499826,0.00961409,-0.00804112,-0.07540840,-0.04375428,,,,,0.008880476572466378,-0.038111543005907245,,-0.01604343651383311,-0.0006893597817360098,-0.04215005816759665,-0.02576920323919696,-0.05395740611694155
2007-08,0.00465153,0.01202506,0.01883221,0.02259023,0.02919702,0.01510280,0.02360264,0.05538884,,,0.01271960,0.00605734,0.01283305,-0.00026283,-0.02494778,0.00604259,0.01040975,-0.00216074,0.01866658,0.01492187,0.01216389,0.02885357,-0.00114855,-0.01530690,-0.01096885,0.01288723,0.03862598,0.02868296,-0.00602169,-0.00834049,0.04635259,0.03050402,,,,,0.010509168161114246,0.009461681965172275,,0.016669272032616256,0.028192684717404548,0.0008180455673032494,-0.0015791546148514746,-0.002922044164498039
2007-09,0.00207494,0.00627733,0.00466525,0.00081274,-0.00632895,-0.00050050,0.00746249,0.03172929,,,0.00638608,0.05195353,0.03380978,0.05811332,0.01918962,0.04019345,0.11571484,0.06932267,0.01439783,0.02737259,0.04485428,0.04152442,0.03438353,0.01434913,0.04498641,0.02802646,0.06751784,0.04027496,0.11932926,0.08504954,0.02772977,0.04874490,,,,,0.005494250078553087,0.0755710483755041,,0.03786996523779762,0.05197446085269686,0.02166419976064038,0.05535774993188336,0.002930607529126883
2007-10,0.00430081,0.00559283,0.00812875,0.01104668,0.01998668,0.00683199,0.00970672,0.00469824,,,0.01023986,0.04029216,0.01837485,0.04954529,0.00139458,0.02612610,0.11870177,0.06227674,0.01900020,0.00727972,0.03104141,0.05102677,0.02745936,0.03250258,0.02122547,0.00685713,0.06607531,0.03557263,0.04153561,0.04636349,0.01381028,0.06381370,,,,,0.004898193715533239,0.0479307638938018,,0.018664374980755127,0.07097134093959667,0.014405265763125508,0.04145808826439201,0.010371571294891302
2007-11,0.00415331,0.02044952,0.03330808,0.04066335,0.03900667,0.02805197,0.01028518,-0.01301917,,,0.01802932,-0.04443249,-0.03873261,-0.02774101,-0.02019473,-0.03902817,-0.07649963,-0.04705682,-0.07117682,-0.04822771,-0.03432495,-0.06921463,-0.06578612,-0.05724988,-0.04186166,0.02292379,-0.04558046,0.02316630,-0.04954685,-0.04908633,-0.08381088,0.01528494,,,,,0.01785688946316566,-0.06133067592285424,,-0.04066709128778667,-0.06759919680192394,-0.046488322717622044,-0.03132883535003539,-0.04655227896331304
2007-12,-0.00019404,-0.00006059,-0.00006881,-0.00300141,-0.00494868,-0.00323329,-0.01225978,-0.00709607,,,-0.00400884,-0.03105563,-0.01648026,-0.03282785,-0.05543745,-0.02981928,-0.02655441,-0.04689439,-0.01335370,-0.02014659,-0.00896816,-0.00547424,-0.07563140,-0.05259526,-0.03269179,-0.05310151,-0.02173102,-0.01717642,-0.01398586,0.03298127,-0.05706816,-0.01462846,,,,,-3.319611439167591e-05,0.03322238828301449,,-0.011352022277589802,-0.0017548418448787295,-0.02116213616445184,0.014498368816806773,-0.03753444462051769
2008-01,0.00981320,0.02684926,0.03590824,0.04085447,0.03207456,0.02818890,0.03469223,-0.00750474,0.01107716,0.00899101,0.03142703,-0.06002391,-0.05547486,-0.08027055,-0.03294485,-0.05666014,-0.07753775,-0.06104281,-0.05129275,-0.03463342,-0.07688577,-0.11771360,-0.02434896,-0.04043075,-0.07656979,-0.02511844,-0.05545033,-0.06136401,-0.04354718,-0.09912111,0.01018067,-0.06050049,,,,,0.02343904781630779,-0.14362261804931709,,-0.048940818060207225,-0.1179800277679609,-0.03904688818970148,-0.09124258015275555,0.03782260533111259
2008-02,-0.00087026,0.00875906,0.01298238,0.00922943,0.00072778,0.00552995,-0.01162401,-0.02790380,-0.00869848,-0.00553280,-0.00560310,-0.01532081,-0.02584252,-0.00822383,-0.01493742,-0.02157086,0.01994285,-0.00250102,-0.02373608,-0.03882650,-0.01661333,-0.01878297,-0.06671936,-0.02609225,0.01600128,-0.02487045,-0.05883146,-0.00425582,0.05168880,0.06742181,-0.03920718,-0.02767531,,,,,0.007660001397658878,-0.009386929293877522,,-0.051136487305281975,-0.04830499696224033,-0.030122094213171025,0.004435478898522804,-0.10833358542736549
2008-03,0.00294440,0.00370138,0.00807809,0.01341337,0.00949172,0.00852770,-0.00559326,0.01021532,0.00140463,0.00188721,0.00158719,-0.01187035,-0.01382493,0.02525463,-0.01276926,-0.00857792,-0.03753027,-0.00709748,-0.00199823,-0.00770081,-0.01108080,0.00248150,-0.00185151,-0.00416734,0.01134620,-0.03614678,-0.00725825,0.03880980,-0.02154249,-0.03169408,0.02880332,0.01192597,,,,,0.003248072762067622,-0.012002523428473855,,-0.0071208761454544245,0.017928495852741255,-0.022379253519088982,-0.014451818990369514,-0.043267342360105765
2008-04,-0.00028249,-0.00979735,-0.02306155,-0.02447408,-0.02051631,-0.01861819,0.01177372,0.03621058,0.01125196,0.00911938,0.00295249,0.07968426,0.05284900,0.03988936,0.07356546,0.05354954,0.09138230,0.06378172,0.04547651,0.04857272,0.05841314,0.06913005,0.07747193,0.02789932,0.02545208,0.00780477,0.04371845,0.00065830,0.08108097,0.12644746,0.06202384,0.02718408,,,,,-0.008526873825434711,0.07033282409922048,,0.05481887181679701,0.0806692582325026,0.06137200100153617,0.0590631480496544,0.046645258285388014
2008-05,0.00130726,-0.00382420,-0.01247628,-0.01752612,-0.02135044,-0.01364006,-0.02155191,-0.00494902,0.00120502,0.00174062,-0.01179524,0.00863829,0.01511680,0.01184386,0.01957815,0.01367840,0.03163785,0.00789858,0.04154621,-0.00248355,0.03289207,0.05655719,-0.03972446,0.00523477,0.02596340,0.02172299,0.02072885,0.00740106,0.05012163,0.05468752,0.00613787,0.04298654,,,,,-0.0033164729553597505,0.029868134499516863,,-0.0034196947805663624,0.05930929006931396,0.026513749091688243,0.047307636071761916,-0.012212209483456915
2008-06,0.00248916,0.00193340,0.00721773,0.01107844,0.02076703,0.00685475,-0.01313143,-0.04113535,-0.01995191,-0.01379764,-0.00257474,-0.07987343,-0.08813649,-0.14404292,-0.07902487,-0.09554698,-0.10297377,-0.08438124,-0.07686425,-0.09525697,-0.06925010,-0.10408529,-0.18022621,-0.13211206,-0.12080195,-0.04677343,-0.10812307,-0.09387731,-0.03692934,-0.00844687,-0.12324691,-0.04972136,,,,,0.0017056103040313797,-0.016241076530449483,,-0.09312148345889393,-0.0967805654950904,-0.10159255525777688,-0.05141369398482942,-0.16354607032341262
2008-07,0.00168082,0.00501176,0.00727303,0.00740438,0.00004872,0.00422233,0.00420890,0.00547214,0.00860364,0.00717438,0.00401725,-0.03156602,-0.00402918,0.01143817,-0.03307525,-0.00829206,-0.04421176,-0.03801730,0.02147949,-0.01071673,-0.02280953,-0.01537518,0.06129471,0.01386527,0.00430595,0.06074988,-0.00710000,0.02266615,-0.09444902,-0.13049413,0.00264532,-0.02132778,,,,,0.004389811232989205,-0.03007084274346039,,0.014004606015401544,0.007122185247458335,-0.0015215871216337495,-0.061556138787077774,0.02964957218428399
2008-08,0.00056743,0.00467539,0.00989369,0.01514139,0.02152897,0.00976580,0.00112809,-0.01032784,0.00665060,0.00574001,0.00723826,-0.01671565,0.01545389,-0.03933060,-0.04916702,-0.00424736,-0.06315783,-0.04924485,0.04289662,0.02417114,0.01578863,0.01228646,-0.03901596,0.02182649,-0.01351620,0.00463312,-0.02377457,0.00980569,-0.07453062,-0.00911813,-0.01098132,-0.03718537,,,,,0.0040987676651058624,-0.01641328130048303,,0.01467554608062116,0.014518411803880138,0.029617031010071848,-0.027228094625769028,0.037282412829520606
2008-09,0.00514819,0.00933459,0.01002293,-0.00126127,0.00678365,-0.00198651,-0.10723809,-0.11589371,-0.07164505,-0.05176258,-0.01750572,-0.12260920,-0.09938696,-0.13501731,-0.06573155,-0.10639188,-0.14681631,-0.13144712,-0.06928376,-0.08005793,-0.11210692,-0.14371176,-0.06586886,-0.09873589,-0.15608207,-0.06935999,-0.09261109,-0.02083337,-0.22103150,-0.13250489,-0.08049957,-0.10337932,,,,,0.008160259346316145,-0.15512960539277176,,-0.10797159036720505,-0.15633122290809254,-0.11295598318995659,-0.1764208012122448,-0.08226866404736799
2008-10,-0.00232063,0.01203177,0.01480214,-0.00875708,-0.03427044,-0.00735716,-0.01939823,-0.12651914,-0.19410511,-0.14170079,-0.02285529,-0.18406410,-0.16035431,-0.24571989,-0.15572225,-0.17926661,-0.25578033,-0.23001776,-0.19526213,-0.16433467,-0.17491163,-0.17666365,-0.27394063,-0.15356694,-0.20140409,-0.10445986,-0.14770860,-0.12964264,-0.25585729,-0.17820227,-0.27296934,-0.14333481,,,,,0.010515296351959469,-0.1784932733568465,,-0.11448259534536687,-0.15414651019378212,-0.2054953189219667,-0.20391335580736525,-0.21414551170515728
2008-11,-0.00015740,0.01202839,0.03819581,0.07730863,0.12625571,0.05430786,0.03306878,-0.07873463,0.09418241,0.07002590,0.03002319,-0.08756294,-0.06960641,-0.07443259,-0.03777767,-0.06921388,-0.09752229,-0.06996408,-0.11853385,-0.07484988,-0.08437615,-0.11402195,-0.15226040,-0.14314293,-0.05714296,-0.07702486,0.04198773,-0.03169705,-0.07946005,-0.01774758,-0.17717074,-0.00130005,,,,,0.01051234647560828,-0.11754207818206508,,-0.06626620513838422,-0.11462444822158968,-0.09633350027620224,-0.09637785156252554,-0.1373535172421495
2008-12,0.00015042,0.00254895,0.01538017,0.04800769,0.08674437,0.03331410,0.13331454,0.17175365,0.17210347,0.12725338,0.06283573,0.05465164,0.00166441,0.10385857,0.10623523,0.02561639,0.08801765,0.07487722,0.04466576,0.00917128,0.01339845,0.04195992,0.03076453,0.07935971,0.04895097,0.08513134,0.05530427,0.01946945,0.06216079,-0.03876497,0.09276618,0.01822892,,,,,0.0022416762936177115,0.009081974158388961,,-0.007809509382793345,0.021291616148298553,0.025452086016498843,0.047960224033391174,0.02588998514127483
2009-01,0.00314683,0.00329222,-0.00802343,-0.03208800,-0.07753533,-0.02407347,-0.00890041,0.00763879,-0.05999314,-0.04320507,-0.01225451,-0.11381854,-0.07466288,-0.15653454,-0.11274501,-0.09357203,-0.08014105,-0.13399713,-0.11156655,-0.10815738,-0.04686994,-0.04471924,-0.19949220,-0.09190144,-0.12175455,-0.04359408,-0.11787770,-0.07139533,-0.09001707,-0.03944863,-0.16078502,-0.06470037,,,,,0.002890190704715856,-0.020902217666514344,,-0.08491653604342231,-0.021446115543703348,-0.0786340908626959,-0.07601061334841819,-0.15517464455068464
2009-02,-0.00021790,-0.00355992,-0.00859091,-0.01013779,-0.01510201,-0.02790905,-0.05670178,-0.11583880,-0.06131673,-0.04417716,-0.01409944,-0.09711099,-0.10744907,-0.12071015,-0.12574115,-0.10837403,-0.06269320,-0.09624028,-0.11820717,-0.13176556,-0.07508532,-0.05778532,-0.17052856,-0.08075582,-0.13556040,-0.14249133,-0.03646997,-0.07973481,-0.06685652,-0.09195842,-0.15075607,-0.12032924,,,,,-0.0030840235855679188,-0.09304588019802706,,-0.10632318143703812,-0.05265005611965845,-0.11224523049226132,-0.09043778370613831,-0.197885104888473
